YEAR,n_actions,n_with_penalty,total_penalty,pct_with_penalty
1972,1,0,0,0
1973,10,0,0,0
1974,32,0,0,0
1975,96,0,0,0
1976,101,0,0,0
1977,142,0,0,0
1978,130,0,0,0
1979,113,1,250000,0.009
1980,86,0,0,0
1981,133,0,0,0
1982,136,3,116000,0.022
1983,159,2,5500,0.013
1984,263,9,87500,0.034
1985,400,64,327200,0.16
1986,590,186,1433900,0.315
1987,520,99,1791425,0.19
1988,742,170,4055489,0.229
1989,785,173,4394022,0.22
1990,1025,224,9778201,0.219
1991,1045,330,22432454,0.316
1992,1028,386,17097464,0.375
1993,1430,581,21196127,0.406
1994,1862,706,22960562,0.379
1995,1542,754,18731612,0.489
1996,1498,710,23130441,0.474
1997,1839,1021,35039821,0.555
1998,2196,1374,49226812.18,0.626
1999,2300,1360,51665146.85,0.591
2000,2476,1558,58491595.31,0.629
2001,3360,2346,197693146,0.698
2002,3758,2423,115785324.07,0.645
2003,4080,2803,146483991.75,0.687
2004,3755,2622,139380275.96,0.698
2005,4080,2866,246462861.78,0.702
2006,3881,2893,99632725.31,0.745
2007,3453,2730,165548239.62,0.791
2008,3839,3021,130019635.97,0.787
2009,4221,3187,126706426.29,0.755
2010,3629,2788,188671165.21,0.768
2011,3635,2712,222042747.79,0.746
2012,3118,2324,160682372.3,0.745
2013,3314,2349,122580642.34,0.709
2014,3402,2505,78351222.48,0.736
2015,2965,2304,80206602.73,0.777
2016,3078,2660,74142546.65,0.864
2017,2332,1873,59699043.21,0.803
2018,2775,2271,138258545.76,0.818
2019,2948,2258,73060769.68,0.766
2020,2435,1806,150951202.02,0.742
2021,2705,2213,147073517.14,0.818
2022,3107,2422,296340970.05,0.78
2023,2826,2400,422327590.87,0.849
2024,2579,2137,392735536.64,0.829
2025,2083,1699,1018934208.09,0.816
2026,722,512,147931123.69,0.709
,39,26,15420590,0.667
