ENF_IDENTIFIER,min_amt,max_amt,naive,distinct,spread,trivial,is_texas
05-2003-0331,880598,5816250,12513098,6696848,4935652,FALSE,FALSE
04-2000-0101,0,0,0,0,0,TRUE,FALSE
05-2001-0710,0,1373006,13730060,1373006,1373006,FALSE,FALSE
05-2005-4530,0,364583,1093749,364583,364583,FALSE,FALSE
05-2005-5009,0,606667,606667,606667,606667,FALSE,FALSE
05-1999-0757,0,3800000,11400000,3800000,3800000,FALSE,FALSE
05-2009-3926,230000,244875,719750,474875,14875,FALSE,FALSE
05-2004-0706,0,307690,923070,307690,307690,FALSE,FALSE
05-2010-6751,0,1995000,1995000,1995000,1995000,FALSE,FALSE
05-2005-5003,0,0,0,0,0,TRUE,FALSE
05-2004-0806,0,0,0,0,0,TRUE,FALSE
05-2009-6635,502463,608218.98,1110681.98,1110681.98,105755.98,FALSE,FALSE
05-1999-0644,0,8025000,8025000,8025000,8025000,FALSE,FALSE
05-2011-5035,458333,458333,916666,458333,0,TRUE,FALSE
05-2007-3933,0,8000000,8000000,8000000,8000000,FALSE,FALSE
06-2006-3410,0,2800000,2800000,2800000,2800000,FALSE,FALSE
06-2011-3405,0,0,0,0,0,TRUE,FALSE
06-2000-1237,249000,249000,747000,249000,0,TRUE,FALSE
06-2000-1224,0,3800000,3800000,3800000,3800000,FALSE,FALSE
01-2014-1520,143000,143000,286000,143000,0,TRUE,FALSE
05-2003-0333,0,3200000,6400000,3200000,3200000,FALSE,FALSE
05-1999-0645,0,0,0,0,0,TRUE,FALSE
06-2010-3402,400500,400500,801000,400500,0,TRUE,FALSE
TX000A314346532014238,1357,1357,2714,1357,0,TRUE,TRUE
TX000A300485682003235,2602,2631,305826,5233,29,FALSE,TRUE
TX000A142610082003228,40283,40286,362553,80569,3,TRUE,TRUE
TX000A951305942007282,2612,2613,5225,5225,1,TRUE,TRUE
TX000A596509392015014,4637,4638,9275,9275,1,TRUE,TRUE
TX000A907421022010252,7723,7724,23171,15447,1,TRUE,TRUE
TX000A248311782008177,4121,4121,8242,4121,0,TRUE,TRUE
TX000A765305432012038,5613,5614,16841,11227,1,TRUE,TRUE
TX000A728385642011209,198821,198823,596467,397644,2,TRUE,TRUE
TX000A518578552018136,16312,16312,32624,16312,0,TRUE,TRUE
TX000A433568702004041,697,698,1395,1395,1,TRUE,TRUE
06-2009-3407,516000,516000,1032000,516000,0,TRUE,FALSE
06-2024-3354,0,490000,2940000,490000,490000,FALSE,FALSE
TX000A735325922008079,14027,14028,28055,28055,1,TRUE,TRUE
TX000A427427982003200,15778,15779,47336,31557,1,TRUE,TRUE
TX000A302558812005259,65312,65313,130625,130625,1,TRUE,TRUE
TX000A535399482005129,1833333,1833335,11000004,3666668,2,TRUE,TRUE
TX000A723352442006118,29737,29738,59475,59475,1,TRUE,TRUE
TX000A182429072010152,48715,48716,292291,97431,1,TRUE,TRUE
TX000A645514482003215,3291,3291,9873,3291,0,TRUE,TRUE
TX000A299355532013056,1931,1932,3863,3863,1,TRUE,TRUE
TX000A166357222021012,28820,28821,57641,57641,1,TRUE,TRUE
TX000A221579422007345,165400,165401,496202,330801,1,TRUE,TRUE
TX000A579401302012006,32666,32668,98000,65334,2,TRUE,TRUE
TX000A150475462016026,10031,10032,20063,20063,1,TRUE,TRUE
TX000A186411342018255,1407,1407,2814,1407,0,TRUE,TRUE
TX000A961495782003266,14062,14062,28124,14062,0,TRUE,TRUE
TX000A873619972004156,8037,8038,16075,16075,1,TRUE,TRUE
TX000A905348902004043,11812,11813,23625,23625,1,TRUE,TRUE
TX000A663563082003206,21437,21437,85748,21437,0,TRUE,TRUE
TX000A486635502003296,1043,1044,3131,2087,1,TRUE,TRUE
TX000A996344912018165,4500,4501,9001,9001,1,TRUE,TRUE
TX000A434602652004365,10962,10963,21925,21925,1,TRUE,TRUE
TX000A482390402003216,107231,107231,214462,107231,0,TRUE,TRUE
TX000A421377622003214,2812,2813,5625,5625,1,TRUE,TRUE
TX000A201530902003217,6582,6582,13164,6582,0,TRUE,TRUE
TX000A859329372003216,2813,2813,5626,2813,0,TRUE,TRUE
02-2011-0009,0,1300000,1300000,1300000,1300000,FALSE,FALSE
05-2010-5520,0,1200000,1200000,1200000,1200000,FALSE,FALSE
05-2010-5530,0,950000,1900000,950000,950000,FALSE,FALSE
05-2009-5506,0,0,0,0,0,TRUE,FALSE
